date,reference_entity,ticker,sector,cds_5y_spread_bps
2023-08-31,Alpha Bank Corp,ALPHA,financials,48.5
2023-08-31,Beta Energy Inc,BETA,energy,58.1
2023-08-31,Gamma Tech Ltd,GAMMA,tech,53.0
2023-08-31,Delta Industrial Co,DELTA,industrials,80.5
2023-08-31,Epsilon Telecom,EPSILON,telecoms,70.2
2023-09-30,Alpha Bank Corp,ALPHA,financials,51.1
2023-09-30,Beta Energy Inc,BETA,energy,65.5
2023-09-30,Gamma Tech Ltd,GAMMA,tech,49.6
2023-09-30,Delta Industrial Co,DELTA,industrials,89.0
2023-09-30,Epsilon Telecom,EPSILON,telecoms,69.8
2023-10-31,Alpha Bank Corp,ALPHA,financials,54.4
2023-10-31,Beta Energy Inc,BETA,energy,59.9
2023-10-31,Gamma Tech Ltd,GAMMA,tech,43.4
2023-10-31,Delta Industrial Co,DELTA,industrials,68.8
2023-10-31,Epsilon Telecom,EPSILON,telecoms,62.3
2023-11-30,Alpha Bank Corp,ALPHA,financials,53.4
2023-11-30,Beta Energy Inc,BETA,energy,56.6
2023-11-30,Gamma Tech Ltd,GAMMA,tech,49.8
2023-11-30,Delta Industrial Co,DELTA,industrials,77.9
2023-11-30,Epsilon Telecom,EPSILON,telecoms,60.7
2023-12-31,Alpha Bank Corp,ALPHA,financials,56.9
2023-12-31,Beta Energy Inc,BETA,energy,54.9
2023-12-31,Gamma Tech Ltd,GAMMA,tech,48.6
2023-12-31,Delta Industrial Co,DELTA,industrials,80.0
2023-12-31,Epsilon Telecom,EPSILON,telecoms,63.6
2024-01-31,Alpha Bank Corp,ALPHA,financials,56.2
2024-01-31,Beta Energy Inc,BETA,energy,60.7
2024-01-31,Gamma Tech Ltd,GAMMA,tech,44.1
2024-01-31,Delta Industrial Co,DELTA,industrials,82.6
2024-01-31,Epsilon Telecom,EPSILON,telecoms,72.4
2024-02-29,Alpha Bank Corp,ALPHA,financials,58.9
2024-02-29,Beta Energy Inc,BETA,energy,71.1
2024-02-29,Gamma Tech Ltd,GAMMA,tech,45.5
2024-02-29,Delta Industrial Co,DELTA,industrials,97.2
2024-02-29,Epsilon Telecom,EPSILON,telecoms,73.6
2024-03-31,Alpha Bank Corp,ALPHA,financials,59.1
2024-03-31,Beta Energy Inc,BETA,energy,63.8
2024-03-31,Gamma Tech Ltd,GAMMA,tech,46.3
2024-03-31,Delta Industrial Co,DELTA,industrials,85.4
2024-03-31,Epsilon Telecom,EPSILON,telecoms,74.8
2024-04-30,Alpha Bank Corp,ALPHA,financials,67.3
2024-04-30,Beta Energy Inc,BETA,energy,68.7
2024-04-30,Gamma Tech Ltd,GAMMA,tech,47.1
2024-04-30,Delta Industrial Co,DELTA,industrials,97.6
2024-04-30,Epsilon Telecom,EPSILON,telecoms,75.6
2024-05-31,Alpha Bank Corp,ALPHA,financials,74.6
2024-05-31,Beta Energy Inc,BETA,energy,57.6
2024-05-31,Gamma Tech Ltd,GAMMA,tech,46.3
2024-05-31,Delta Industrial Co,DELTA,industrials,76.0
2024-05-31,Epsilon Telecom,EPSILON,telecoms,68.0
2024-06-30,Alpha Bank Corp,ALPHA,financials,85.7
2024-06-30,Beta Energy Inc,BETA,energy,66.9
2024-06-30,Gamma Tech Ltd,GAMMA,tech,46.1
2024-06-30,Delta Industrial Co,DELTA,industrials,74.5
2024-06-30,Epsilon Telecom,EPSILON,telecoms,58.9
2024-07-31,Alpha Bank Corp,ALPHA,financials,80.2
2024-07-31,Beta Energy Inc,BETA,energy,83.9
2024-07-31,Gamma Tech Ltd,GAMMA,tech,47.9
2024-07-31,Delta Industrial Co,DELTA,industrials,79.7
2024-07-31,Epsilon Telecom,EPSILON,telecoms,61.5
2024-08-31,Alpha Bank Corp,ALPHA,financials,68.1
2024-08-31,Beta Energy Inc,BETA,energy,74.2
2024-08-31,Gamma Tech Ltd,GAMMA,tech,45.3
2024-08-31,Delta Industrial Co,DELTA,industrials,72.1
2024-08-31,Epsilon Telecom,EPSILON,telecoms,61.0
2024-09-30,Alpha Bank Corp,ALPHA,financials,71.1
2024-09-30,Beta Energy Inc,BETA,energy,79.3
2024-09-30,Gamma Tech Ltd,GAMMA,tech,43.7
2024-09-30,Delta Industrial Co,DELTA,industrials,84.1
2024-09-30,Epsilon Telecom,EPSILON,telecoms,68.4
2024-10-31,Alpha Bank Corp,ALPHA,financials,64.7
2024-10-31,Beta Energy Inc,BETA,energy,67.6
2024-10-31,Gamma Tech Ltd,GAMMA,tech,46.7
2024-10-31,Delta Industrial Co,DELTA,industrials,76.8
2024-10-31,Epsilon Telecom,EPSILON,telecoms,72.4
2024-11-30,Alpha Bank Corp,ALPHA,financials,62.7
2024-11-30,Beta Energy Inc,BETA,energy,76.6
2024-11-30,Gamma Tech Ltd,GAMMA,tech,47.0
2024-11-30,Delta Industrial Co,DELTA,industrials,84.6
2024-11-30,Epsilon Telecom,EPSILON,telecoms,78.8
2024-12-31,Alpha Bank Corp,ALPHA,financials,61.3
2024-12-31,Beta Energy Inc,BETA,energy,66.7
2024-12-31,Gamma Tech Ltd,GAMMA,tech,44.1
2024-12-31,Delta Industrial Co,DELTA,industrials,82.5
2024-12-31,Epsilon Telecom,EPSILON,telecoms,68.9
2025-01-31,Alpha Bank Corp,ALPHA,financials,66.5
2025-01-31,Beta Energy Inc,BETA,energy,63.7
2025-01-31,Gamma Tech Ltd,GAMMA,tech,49.2
2025-01-31,Delta Industrial Co,DELTA,industrials,67.4
2025-01-31,Epsilon Telecom,EPSILON,telecoms,66.8
2025-02-28,Alpha Bank Corp,ALPHA,financials,56.7
2025-02-28,Beta Energy Inc,BETA,energy,53.9
2025-02-28,Gamma Tech Ltd,GAMMA,tech,46.5
2025-02-28,Delta Industrial Co,DELTA,industrials,58.9
2025-02-28,Epsilon Telecom,EPSILON,telecoms,61.5
2025-03-31,Alpha Bank Corp,ALPHA,financials,57.1
2025-03-31,Beta Energy Inc,BETA,energy,54.8
2025-03-31,Gamma Tech Ltd,GAMMA,tech,42.7
2025-03-31,Delta Industrial Co,DELTA,industrials,64.2
2025-03-31,Epsilon Telecom,EPSILON,telecoms,63.2
2025-04-30,Alpha Bank Corp,ALPHA,financials,60.7
2025-04-30,Beta Energy Inc,BETA,energy,59.2
2025-04-30,Gamma Tech Ltd,GAMMA,tech,44.8
2025-04-30,Delta Industrial Co,DELTA,industrials,85.8
2025-04-30,Epsilon Telecom,EPSILON,telecoms,65.6
2025-05-31,Alpha Bank Corp,ALPHA,financials,59.9
2025-05-31,Beta Energy Inc,BETA,energy,53.6
2025-05-31,Gamma Tech Ltd,GAMMA,tech,40.5
2025-05-31,Delta Industrial Co,DELTA,industrials,70.7
2025-05-31,Epsilon Telecom,EPSILON,telecoms,59.4
2025-06-30,Alpha Bank Corp,ALPHA,financials,60.6
2025-06-30,Beta Energy Inc,BETA,energy,55.5
2025-06-30,Gamma Tech Ltd,GAMMA,tech,41.2
2025-06-30,Delta Industrial Co,DELTA,industrials,67.8
2025-06-30,Epsilon Telecom,EPSILON,telecoms,62.8
2025-07-31,Alpha Bank Corp,ALPHA,financials,66.5
2025-07-31,Beta Energy Inc,BETA,energy,56.2
2025-07-31,Gamma Tech Ltd,GAMMA,tech,40.4
2025-07-31,Delta Industrial Co,DELTA,industrials,75.0
2025-07-31,Epsilon Telecom,EPSILON,telecoms,64.8
2025-08-31,Alpha Bank Corp,ALPHA,financials,58.0
2025-08-31,Beta Energy Inc,BETA,energy,52.5
2025-08-31,Gamma Tech Ltd,GAMMA,tech,39.6
2025-08-31,Delta Industrial Co,DELTA,industrials,64.0
2025-08-31,Epsilon Telecom,EPSILON,telecoms,62.0
2025-09-30,Alpha Bank Corp,ALPHA,financials,51.2
2025-09-30,Beta Energy Inc,BETA,energy,57.4
2025-09-30,Gamma Tech Ltd,GAMMA,tech,42.7
2025-09-30,Delta Industrial Co,DELTA,industrials,64.7
2025-09-30,Epsilon Telecom,EPSILON,telecoms,62.4
2025-10-31,Alpha Bank Corp,ALPHA,financials,41.4
2025-10-31,Beta Energy Inc,BETA,energy,45.8
2025-10-31,Gamma Tech Ltd,GAMMA,tech,38.1
2025-10-31,Delta Industrial Co,DELTA,industrials,48.3
2025-10-31,Epsilon Telecom,EPSILON,telecoms,58.4
2025-11-30,Alpha Bank Corp,ALPHA,financials,53.2
2025-11-30,Beta Energy Inc,BETA,energy,44.3
2025-11-30,Gamma Tech Ltd,GAMMA,tech,38.4
2025-11-30,Delta Industrial Co,DELTA,industrials,53.6
2025-11-30,Epsilon Telecom,EPSILON,telecoms,67.8
2025-12-31,Alpha Bank Corp,ALPHA,financials,48.4
2025-12-31,Beta Energy Inc,BETA,energy,43.9
2025-12-31,Gamma Tech Ltd,GAMMA,tech,43.3
2025-12-31,Delta Industrial Co,DELTA,industrials,45.8
2025-12-31,Epsilon Telecom,EPSILON,telecoms,61.4
